# spectrum  Type     U-V    B-V    V-R    V-I    V-J    V-K
# ---------------------------------------------------------
#  bpgs_1  O5      -1.42  -0.34  -0.14  -0.29  -0.76  -0.93
#
# lambda (Angstroms)  flux (phot/lambda)
#----------------------------------------------------------
PHOTLAM
      512.023      23264.6
      524.570      23642.3
      537.117      23433.5
      549.664      24103.7
      562.212      25057.6
      574.759      25409.9
      587.306      25607.8
      599.853      25898.0
      612.401      26132.2
      624.948      26011.8
      637.495      25864.6
      650.042      26125.0
      662.590      26525.4
      675.137      26714.0
      687.684      26506.8
      700.231      26294.3
      712.779      26500.1
      725.326      26971.7
      737.873      27209.7
      750.420      26641.1
      762.968      26004.2
      775.515      25735.4
      788.062      25930.6
      800.609      26127.7
      813.157      26156.6
      825.704      25776.9
      838.251      25379.1
      850.798      25052.0
      863.346      25057.0
      875.893      25104.3
      888.440      25217.4
      900.987      26014.8
      913.535      26993.8
      926.082      31205.6
      938.629      38595.3
      951.177      43527.3
      963.724      46999.3
      976.271      47447.8
      988.818      47403.8
      1001.37      46588.0
      1013.91      45682.4
      1026.46      44698.5
      1039.01      43810.9
      1051.55      43264.4
      1064.10      42739.0
      1076.65      42191.4
      1089.20      41567.5
      1101.74      40709.7
      1114.29      40353.8
      1126.84      40382.2
      1139.39      39537.8
      1151.93      38998.4
      1164.48      38243.2
      1177.03      37014.3
      1189.57      35688.1
      1202.12      34513.8
      1214.67      33943.5
      1227.22      33555.8
      1239.76      33216.6
      1252.31      32535.9
      1264.86      31860.1
      1277.41      31273.6
      1289.95      30469.4
      1302.50      29588.3
      1315.05      28709.3
      1327.59      27933.1
      1340.14      27229.7
      1352.69      26547.9
      1365.24      25991.5
      1377.78      25600.8
      1390.33      25213.1
      1402.88      24822.5
      1415.42      24425.0
      1427.97      24096.7
      1440.52      23841.1
      1453.07      23740.1
      1465.61      23664.3
      1478.16      23577.6
      1490.71      23315.4
      1503.26      22901.8
      1515.80      22244.4
      1528.35      21259.5
      1540.90      20085.1
      1553.44      18838.3
      1565.99      18673.6
      1578.54      19613.9
      1591.09      19688.9
      1603.63      19502.5
      1616.18      19236.1
      1628.73      18975.0
      1641.28      18720.2
      1653.82      18476.7
      1666.37      18217.9
      1678.92      17942.1
      1691.46      17657.1
      1704.01      17397.2
      1716.56      17193.2
      1729.11      17060.1
      1741.65      16924.7
      1754.20      16668.6
      1766.75      16494.9
      1779.30      16384.5
      1791.84      16140.0
      1804.39      15855.5
      1816.94      15556.7
      1829.48      15419.1
      1842.03      15297.9
      1854.58      15017.1
      1867.13      14779.8
      1879.67      14586.4
      1892.22      14395.4
      1904.77      14201.0
      1917.32      14006.1
      1929.86      13902.5
      1942.41      13807.2
      1954.96      13637.1
      1967.50      13439.7
      1980.05      13231.0
      1992.60      13046.0
      2005.15      12871.4
      2017.69      12703.9
      2030.24      12533.0
      2042.79      12399.6
      2055.33      12371.3
      2067.88      12246.4
      2080.43      12058.1
      2092.98      11882.5
      2105.52      11724.1
      2118.07      11585.9
      2130.62      11451.7
      2143.17      11315.4
      2155.71      11173.5
      2168.26      11025.8
      2180.81      10876.4
      2193.35      10733.9
      2205.90      10599.8
      2218.45      10474.3
      2231.00      10354.4
      2243.54      10221.3
      2256.09      10056.7
      2268.64      9907.30
      2281.19      9766.45
      2293.73      9629.24
      2306.28      9504.38
      2318.83      9393.22
      2331.37      9302.75
      2343.92      9205.76
      2356.47      9084.46
      2369.02      8922.18
      2381.56      8756.44
      2394.11      8649.15
      2406.66      8560.59
      2419.20      8479.65
      2431.75      8375.63
      2444.30      8272.58
      2456.85      8178.32
      2469.39      8018.44
      2481.94      7846.98
      2494.49      7729.45
      2507.04      7644.71
      2519.58      7587.17
      2532.13      7559.55
      2544.68      7513.87
      2557.22      7429.55
      2569.77      7335.73
      2582.32      7240.29
      2594.87      7152.40
      2607.41      7069.36
      2619.96      6989.15
      2632.51      6909.87
      2645.06      6831.09
      2657.60      6752.69
      2670.15      6665.45
      2682.70      6580.40
      2695.24      6508.60
      2707.79      6434.22
      2720.34      6355.02
      2732.89      6263.23
      2745.43      6191.42
      2757.98      6146.32
      2770.53      6079.11
      2783.07      6006.77
      2795.62      5939.00
      2808.17      5873.39
      2820.72      5808.18
      2833.26      5741.52
      2845.81      5677.96
      2858.36      5617.67
      2870.91      5558.61
      2883.45      5499.56
      2896.00      5441.25
      2908.55      5381.77
      2921.09      5321.33
      2933.64      5259.45
      2946.19      5200.46
      2958.74      5144.24
      2971.28      5085.04
      2983.83      5024.99
      2996.38      4965.32
      3008.93      4909.27
      3021.47      4856.24
      3034.02      4809.41
      3046.57      4765.90
      3059.11      4724.19
      3071.66      4675.79
      3084.21      4625.66
      3096.76      4575.21
      3109.30      4525.41
      3121.85      4476.11
      3134.40      4428.34
      3146.95      4385.96
      3159.49      4347.25
      3172.04      4305.78
      3184.59      4257.83
      3197.13      4200.80
      3209.68      4151.27
      3222.23      4110.06
      3234.78      4086.91
      3247.32      4166.32
      3259.87      4270.66
      3272.42      4119.23
      3284.97      4014.16
      3297.51      3889.79
      3310.06      3787.05
      3322.61      3838.50
      3335.15      3773.75
      3347.70      3759.83
      3360.25      3694.65
      3372.80      3636.28
      3385.34      3565.67
      3397.89      3530.35
      3410.44      3487.72
      3422.98      3514.73
      3435.53      3505.43
      3448.08      3508.78
      3460.63      3472.59
      3473.17      3358.44
      3485.72      3311.21
      3498.27      3359.52
      3510.82      3297.89
      3523.36      3277.16
      3535.91      3223.06
      3548.46      3200.47
      3561.00      3147.39
      3573.55      3091.88
      3586.10      3032.06
      3598.65      3052.46
      3611.19      3017.26
      3623.74      2991.93
      3636.29      2955.19
      3648.84      2957.91
      3661.38      2952.03
      3673.93      2874.74
      3686.48      2809.25
      3699.02      2781.18
      3711.57      2770.01
      3724.12      2751.51
      3736.67      2699.28
      3749.21      2696.52
      3761.76      2681.78
      3774.31      2712.14
      3786.86      2709.52
      3799.40      2687.47
      3811.95      2793.62
      3824.50      2744.28
      3837.04      2614.20
      3849.59      2699.74
      3862.14      2709.76
      3874.69      2630.52
      3887.23      2485.83
      3899.78      2523.45
      3912.33      2589.75
      3924.87      2580.81
      3937.42      2586.75
      3949.97      2593.21
      3962.52      2461.53
      3975.06      2438.39
      3987.61      2550.38
      4000.16      2554.87
      4012.71      2493.84
      4025.25      2431.20
      4037.80      2435.50
      4050.35      2412.36
      4062.89      2367.74
      4075.44      2317.71
      4087.99      2262.65
      4100.54      2129.80
      4113.08      2204.48
      4125.63      2288.96
      4138.18      2322.76
      4150.73      2265.69
      4163.27      2239.15
      4175.82      2238.23
      4188.37      2186.06
      4200.91      2147.54
      4213.46      2166.30
      4226.01      2172.61
      4238.56      2171.77
      4251.10      2173.70
      4263.65      2170.85
      4276.20      2149.78
      4288.74      2147.04
      4301.29      2138.21
      4313.84      2072.99
      4326.39      1982.23
      4338.93      1889.95
      4351.48      1956.66
      4364.03      2012.28
      4376.58      1980.39
      4389.12      1944.85
      4401.67      1925.26
      4414.22      1900.19
      4426.76      1856.42
      4439.31      1844.52
      4451.86      1875.34
      4464.41      1866.25
      4476.95      1823.33
      4489.50      1810.34
      4502.05      1786.91
      4514.60      1787.65
      4527.14      1738.27
      4539.69      1688.88
      4552.24      1700.61
      4564.78      1751.87
      4577.33      1732.52
      4589.88      1712.80
      4602.43      1703.28
      4614.97      1720.93
      4627.52      1707.96
      4640.07      1687.29
      4652.62      1657.81
      4665.16      1635.89
      4677.71      1576.78
