# spectrum  Type     U-V    B-V    V-R    V-I    V-J    V-K
# ---------------------------------------------------------
# bpgs_41  F8V      0.62   0.48   0.37   0.68   0.98   1.25
#
# lambda (Angstroms)  flux (phot/lambda)
#----------------------------------------------------------
PHOTLAM
      895.930  2.32173e-10
      908.286  7.15681e-10
      920.641  1.35648e-09
      932.996  2.76891e-09
      945.352  4.55827e-09
      957.707  6.72588e-09
      970.062  1.02743e-08
      982.417  1.46408e-08
      994.773  2.12760e-08
      1007.13  2.93485e-08
      1019.48  4.08674e-08
      1031.84  5.47496e-08
      1044.19  7.62102e-08
      1056.55  1.03255e-07
      1068.90  1.41244e-07
      1081.26  1.90748e-07
      1093.61  2.31509e-06
      1105.97  6.24760e-06
      1118.32  9.62127e-06
      1130.68  1.23996e-05
      1143.04  1.58701e-05
      1155.39  2.11108e-05
      1167.75  2.70187e-05
      1180.10  3.35302e-05
      1192.46  4.14287e-05
      1204.81  5.20137e-05
      1217.17  6.68404e-05
      1229.52  9.15526e-05
      1241.88  0.000121932
      1254.23  0.000158851
      1266.59  0.000198268
      1278.94  0.000240834
      1291.30  0.000295794
      1303.65  0.000357121
      1316.01  0.000425971
      1328.36  0.000503118
      1340.72  0.000588689
      1353.07  0.000694253
      1365.43  0.000819998
      1377.79  0.000970491
      1390.14   0.00115683
      1402.50   0.00136659
      1414.85   0.00161096
      1427.21   0.00189908
      1439.56   0.00222887
      1451.92   0.00263695
      1464.27   0.00308715
      1476.63   0.00359025
      1488.98   0.00422510
      1501.34   0.00747523
      1513.69    0.0209139
      1526.05    0.0348176
      1538.40    0.0472710
      1550.76    0.0509046
      1563.11    0.0545671
      1575.47    0.0641027
      1587.82    0.0755764
      1600.18    0.0879938
      1612.53    0.0999842
      1624.89     0.111242
      1637.25     0.121390
      1649.60     0.129238
      1661.96     0.433196
      1674.31      1.72821
      1686.67      2.77729
      1699.02      3.53243
      1711.38      4.17163
      1723.73      4.92583
      1736.09      5.94834
      1748.44      6.19250
      1760.80      6.29813
      1773.15      7.64519
      1785.51      8.22306
      1797.86      7.62120
      1810.22      6.49813
      1822.57      5.61786
      1834.93      5.88337
      1847.28      6.90085
      1859.64      8.32522
      1872.00      9.20860
      1884.35      10.0564
      1896.71      11.0283
      1909.06      12.2726
      1921.42      13.1009
      1933.77      11.8548
      1946.13      11.1757
      1958.48      11.5482
      1970.84      14.6180
      1983.19      17.4045
      1995.55      17.8094
      2007.90      17.0409
      2020.26      15.9777
      2032.61      16.8915
      2044.97      17.4700
      2057.32      17.2079
      2069.68      18.6798
      2082.03      20.4131
      2094.39      20.8705
      2106.74      21.4815
      2119.10      22.3051
      2131.46      23.0886
      2143.81      23.7080
      2156.17      24.0253
      2168.52      25.0339
      2180.88      26.6415
      2193.23      29.3554
      2205.59      30.7772
      2217.94      30.4902
      2230.30      30.6080
      2242.65      31.0691
      2255.01      32.1112
      2267.36      31.0228
      2279.72      28.9681
      2292.07      30.6504
      2304.43      32.0317
      2316.78      31.6644
      2329.14      29.8948
      2341.49      27.4703
      2353.85      24.8198
      2366.20      23.1871
      2378.56      22.3818
      2390.92      19.4034
      2403.27      18.2482
      2415.63      22.7052
      2427.98      27.6659
      2440.34      32.0871
      2452.69      32.6579
      2465.05      32.5266
      2477.40      32.2124
      2489.76      31.7677
      2502.11      30.5779
      2514.47      27.1499
      2526.82      24.0348
      2539.18      22.2454
      2551.53      27.8016
      2563.89      35.1379
      2576.24      42.6781
      2588.60      46.2632
      2600.95      46.2404
      2613.31      38.8771
      2625.67      39.3669
      2638.02      51.0907
      2650.38      73.8324
      2662.73      93.4990
      2675.09      95.6150
      2687.44      96.3344
      2699.80      96.7777
      2712.15      97.2226
      2724.51      94.7652
      2736.86      87.3141
      2749.22      75.4143
      2761.57      67.2017
      2773.93      79.7033
      2786.28      74.4410
      2798.64      52.8211
      2810.99      59.5078
      2823.35      77.7166
      2835.70      105.227
      2848.06      112.065
      2860.42      109.718
      2872.77      123.068
      2885.13      142.570
      2897.48      166.870
      2909.84      183.402
      2922.19      193.603
      2934.55      192.497
      2946.90      194.045
      2959.26      197.996
      2971.61      198.740
      2983.97      198.383
      2996.32      197.299
      3008.68      199.378
      3021.03      205.193
      3033.39      220.534
      3045.74      231.500
      3058.10      236.040
      3070.45      239.450
      3082.81      244.846
      3095.16      256.321
      3107.52      263.962
      3119.88      268.653
      3132.23      272.424
      3144.59      275.881
      3156.94      279.136
      3169.30      282.979
      3181.65      287.098
      3194.01      291.226
      3206.36      293.605
      3218.72      294.020
      3231.07      291.825
      3243.43      299.476
      3255.78      330.197
      3268.14      348.357
      3280.49      343.043
      3292.85      381.195
      3305.20      378.800
      3317.56      370.002
      3329.91      359.084
      3342.27      371.728
      3354.62      370.862
      3366.98      361.036
      3379.34      380.186
      3391.69      386.705
      3404.05      391.387
      3416.40      391.464
      3428.76      390.913
      3441.11      372.627
      3453.47      379.308
      3465.82      384.244
      3478.18      373.083
      3490.53      366.698
      3502.89      396.482
      3515.24      412.951
      3527.60      416.473
      3539.95      450.664
      3552.31      440.473
      3564.66      404.173
      3577.02      370.482
      3589.38      389.843
      3601.73      419.500
      3614.09      401.509
      3626.44      418.331
      3638.80      418.987
      3651.15      439.434
      3663.51      466.921
      3675.86      459.303
      3688.22      479.173
      3700.57      482.281
      3712.93      488.434
      3725.28      474.729
      3737.64      439.991
      3749.99      461.980
      3762.35      500.295
      3774.70      548.151
      3787.06      551.552
      3799.41      546.640
      3811.77      541.477
      3824.12      460.079
      3836.48      453.386
      3848.83      546.474
      3861.19      564.486
      3873.55      532.203
      3885.90      511.028
      3898.26      556.874
      3910.61      582.414
      3922.97      486.878
      3935.32      417.616
      3947.68      548.907
      3960.03      500.961
      3972.39      510.613
      3984.74      716.169
      3997.10      796.083
      4009.45      835.293
      4021.81      868.689
      4034.16      871.793
      4046.52      861.131
      4058.87      839.015
      4071.23      842.484
      4083.58      833.699
      4095.94      789.999
      4108.29      821.638
      4120.65      864.135
      4133.01      870.583
      4145.36      887.256
      4157.72      882.362
      4170.07      876.199
      4182.43      858.749
      4194.78      875.013
      4207.14      888.931
      4219.49      874.283
      4231.85      869.144
      4244.20      885.713
      4256.56      876.798
      4268.91      874.856
      4281.27      836.087
      4293.62      758.999
      4305.98      782.520
      4318.33      885.748
      4330.69      845.622
      4343.04      845.131
      4355.40      923.862
      4367.75      932.487
      4380.11      889.948
      4392.47      895.419
      4404.82      934.676
      4417.18      957.922
      4429.53      960.102
      4441.89      946.816
      4454.24      919.255
      4466.60      972.237
      4478.95      1004.98
      4491.31      1014.16
      4503.66      1043.43
      4516.02      1014.33
      4528.37      973.025
      4540.73      978.236
      4553.08      1006.81
      4565.44      1026.74
      4577.79      1006.75
      4590.15      989.360
      4602.51      1002.90
      4614.86      1010.83
      4627.21      1030.98
      4639.57      1021.23
      4651.93      1017.16
      4664.28      1001.00
      4676.64      1008.60
      4688.99      1005.45
      4701.35      985.749
      4713.70      1008.77
      4726.06      1030.24
      4738.41      1037.92
      4750.77      1030.81
      4763.12      1010.88
      4775.48      1029.82
      4787.83      1060.96
      4800.19      1067.86
      4812.54      1082.76
      4824.90      1060.26
      4837.25      1041.89
      4849.61      957.091
      4861.97      896.557
      4874.32      952.053
      4886.68      990.259
      4899.03      1010.52
      4911.39      1002.11
      4923.74      997.619
      4936.10      1006.99
      4948.45      1036.05
      4960.81      1044.14
      4973.16      1036.59
      4985.52      1009.75
      4997.87      1006.33
      5010.23      980.503
      5022.58      990.921
      5034.94      999.510
      5047.29      1013.73
      5059.65      1017.21
      5072.00      996.818
      5084.36      978.495
      5096.71      961.641
      5109.07      992.805
      5121.43      988.379
      5133.78      975.083
      5146.14      973.116
      5158.49      952.645
      5170.85      918.563
      5183.20      923.010
      5195.56      941.230
      5207.91      965.591
      5220.27      961.737
      5232.62      964.313
      5244.98      964.266
      5257.33      938.166
      5269.69      938.816
      5282.04      982.954
      5294.40      1007.46
      5306.75      1001.81
      5319.11      989.603
      5331.46      971.902
      5343.82      987.128
      5356.18      997.676
      5368.53      993.763
      5380.89      992.011
      5393.24      977.245
      5405.60      955.896
      5417.95      976.240
      5430.31      1011.15
      5442.66      1037.23
      5455.02      1036.07
      5467.37      1012.84
      5479.73      1006.41
      5492.08      1013.65
      5504.44      1004.62
      5516.79      1006.35
      5529.15      1019.67
      5541.50      1021.32
      5553.86      1022.35
      5566.21      994.364
      5578.57      994.837
      5590.93      1006.40
      5603.28      1010.03
      5615.64      1029.28
      5627.99      1022.19
      5640.35      1028.40
      5652.70      1018.94
      5665.06      1015.29
      5677.41      1026.08
      5689.77      1021.01
      5702.12      1006.91
      5714.48      1014.14
      5726.83      1045.98
      5739.19      1067.86
      5751.54      1074.34
      5763.90      1076.03
      5776.25      1072.78
      5788.61      1074.55
      5800.96      1076.90
      5813.32      1070.94
      5825.67      1075.56
      5838.03      1091.10
      5850.39      1074.63
      5862.74      1053.77
      5875.10      1047.10
      5887.45      1038.67
      5899.81      1031.43
      5912.16      1043.20
      5924.52      1054.50
      5936.87      1058.77
      5949.23      1052.01
      5961.58      1043.36
      5973.94      1044.78
      5986.29      1046.63
      5998.65      1047.70
      6011.00      1047.14
      6023.36      1045.84
      6035.71      1043.26
      6048.07      1021.99
      6060.42      995.097
      6072.78      994.719
      6085.13      997.647
      6097.49      999.937
      6109.84      1007.73
      6122.20      1019.23
      6134.56      1036.21
      6146.91      1044.41
      6159.27      1044.48
      6171.62      1039.50
      6183.98      1043.74
      6196.33      1066.03
      6208.69      1059.50
      6221.04      1043.00
      6233.40      1044.72
      6245.75      1045.61
      6258.11      1043.07
      6270.46      1041.37
      6282.82      1038.07
      6295.17      1030.35
      6307.53      1025.34
      6319.88      1022.86
      6332.24      1024.49
      6344.60      1025.31
      6356.95      1024.13
      6369.30      1025.77
      6381.66      1024.97
      6394.02      1011.32
      6406.37      989.679
      6418.73      965.897
      6431.08      979.070
      6443.44      997.080
      6455.79      1005.05
      6468.15      1007.19
      6480.50      1007.17
      6492.86      1010.95
      6505.21      1013.58
      6517.57      1012.37
      6529.92      991.206
      6542.28      967.142
      6554.63      955.097
      6566.99      953.874
      6579.34      962.740
      6591.70      988.550
      6604.05      1009.91
      6616.41      1016.54
      6628.76      1017.62
      6641.12      1015.11
      6653.48      1008.13
      6665.83      1002.07
      6678.19      998.878
      6690.54      1009.40
      6702.90      1018.28
      6715.25      1013.27
      6727.61      1013.51
      6739.96      1016.49
      6752.32      1012.36
      6764.67      1001.23
      6777.03      982.930
      6789.38      992.422
      6801.74      1009.18
      6814.09      1011.76
      6826.45      1015.49
      6838.80      1020.44
      6851.16      1014.73
      6863.52      999.579
      6875.87      970.862
      6888.23      970.055
      6900.58      985.188
      6912.94      1000.27
      6925.29      1009.50
      6937.65      1011.12
      6950.00      1010.91
      6962.36      1007.10
      6974.71      994.746
      6987.07      986.968
      6999.42      984.318
      7011.78      988.888
      7024.13      992.202
      7036.49      990.946
      7048.84      997.870
      7061.20      1005.58
      7073.55      1000.45
      7085.91      997.380
      7098.26      997.114
      7110.62      986.737
      7122.98      971.315
      7135.33      951.208
      7147.69      952.561
      7160.04      967.420
      7172.40      977.887
      7184.75      980.471
      7197.11      972.821
      7209.46      973.160
      7221.82      975.046
      7234.17      971.519
      7246.53      963.544
      7258.88      953.647
      7271.24      957.595
      7283.59      961.991
      7295.95      960.105
      7308.30      958.355
      7320.66      956.432
      7333.02      953.120
      7345.37      951.457
      7357.73      951.879
      7370.08      947.635
      7382.44      941.758
      7394.79      935.601
      7407.15      934.469
      7419.50      937.392
      7431.86      942.758
      7444.21      945.544
      7456.57      942.837
      7468.92      931.511
      7481.28      915.996
      7493.63      899.566
      7505.99      897.142
      7518.34      909.499
      7530.70      920.390
      7543.05      929.150
      7555.41      933.774
      7567.76      920.830
      7580.12      891.503
      7592.47      834.036
      7604.83      809.529
      7617.19      840.094
      7629.54      864.416
      7641.90      885.569
      7654.25      905.533
      7666.61      901.792
      7678.96      881.497
      7691.32      895.026
      7703.67      908.279
      7716.03      904.402
      7728.38      900.692
      7740.74      897.878
      7753.09      896.685
      7765.45      901.379
      7777.80      912.201
      7790.16      912.519
      7802.51      911.241
      7814.87      914.989
      7827.22      911.721
      7839.58      902.326
      7851.94      889.778
      7864.29      882.454
      7876.65      885.423
      7889.00      895.093
      7901.36      903.656
      7913.71      897.468
      7926.07      894.469
      7938.42      896.866
      7950.78      903.423
      7963.13      904.689
      7975.49      891.589
      7987.84      893.042
      8000.20      901.488
      8012.55      896.403
      8024.91      892.178
      8037.26      892.492
      8049.62      894.094
      8061.97      892.698
      8074.33      880.449
      8086.69      874.539
      8099.04      875.674
      8111.39      882.648
      8123.75      888.660
      8136.11      889.504
      8148.46      876.238
      8160.82      857.980
      8173.17      850.613
      8185.53      840.066
      8197.88      823.305
      8210.24      800.567
      8222.59      790.103
      8234.95      817.272
      8247.30      832.671
      8259.66      837.969
      8272.01      845.448
      8284.37      848.125
      8296.72      842.108
      8309.08      835.896
      8321.43      827.469
      8333.79      810.900
      8346.14      809.880
      8358.50      825.137
      8370.85      833.500
      8383.21      837.490
      8395.57      835.414
      8407.92      835.198
      8420.28      835.269
      8432.63      829.319
      8444.99      821.955
      8457.34      813.606
      8469.70      801.347
      8482.05      791.727
      8494.41      794.586
      8506.76      790.382
      8519.12      779.207
      8531.47      768.068
      8543.83      767.443
      8556.18      786.375
      8568.54      783.458
      8580.89      773.254
      8593.25      783.102
      8605.61      793.308
      8617.96      799.894
      8630.32      794.597
      8642.67      787.750
      8655.03      786.654
      8667.38      787.297
      8679.74      789.610
      8692.09      795.959
      8704.45      796.156
      8716.80      786.485
      8729.16      802.034
      8741.51      818.709
      8753.87      799.688
      8766.22      793.725
      8778.58      801.175
      8790.93      777.647
      8803.29      763.802
      8815.64      788.943
      8828.00      786.932
      8840.36      771.681
      8852.71      778.225
      8865.06      784.646
      8877.42      785.835
      8889.78      785.304
      8902.13      782.587
      8914.49      774.975
      8926.84      760.080
      8939.20      743.790
      8951.55      758.244
      8963.91      775.572
      8976.26      784.243
      8988.62      770.218
      9000.97      755.350
      9013.33      784.528
      9025.68      811.482
      9038.04      826.029
      9050.39      808.226
      9062.75      783.346
      9075.10      766.691
      9087.46      771.822
      9099.82      788.681
      9112.17      786.275
      9124.53      778.327
      9136.88      767.161
      9149.24      754.136
      9161.59      746.133
      9173.95      757.842
      9186.30      762.466
      9198.66      757.289
      9211.01      745.454
      9223.37      732.855
      9235.72      722.730
      9248.08      720.031
      9260.43      719.457
      9272.79      708.348
      9285.14      681.297
      9297.50      638.657
      9309.85      637.976
      9322.21      661.627
      9334.56      710.016
      9346.92      721.377
      9359.28      704.047
      9371.63      712.640
      9383.98      732.954
      9396.34      761.555
      9408.70      734.538
      9421.05      687.383
      9433.41      672.851
      9445.76      672.968
      9458.12      683.194
      9470.47      678.591
      9482.83      670.248
      9495.18      664.032
      9507.54      670.077
      9519.89      682.078
      9532.25      681.417
      9544.60      683.056
      9556.96      691.905
      9569.31      698.509
      9581.67      699.832
      9594.02      687.005
      9606.38      684.990
      9618.74      692.744
      9631.09      684.072
      9643.45      677.113
      9655.80      682.910
      9668.16      696.659
      9680.51      711.588
      9692.87      712.841
      9705.22      712.309
      9717.58      712.053
      9729.93      705.880
      9742.29      700.803
      9754.64      704.600
      9767.00      702.529
      9779.35      696.231
      9791.71      698.741
      9804.06      701.863
      9816.42      702.929
      9828.78      706.354
      9841.13      709.356
      9853.49      705.842
      9865.84      698.524
      9878.19      688.602
      9890.55      685.390
      9902.91      683.288
      9915.26      679.278
      9927.62      679.337
      9939.97      681.869
      9952.33      682.073
      9964.68      682.153
      9977.04      682.029
      9989.39      678.288
      10001.7      671.760
      10014.1      661.107
      10026.5      649.645
      10038.8      639.899
      10051.2      645.992
      10063.5      657.103
      10075.9      670.290
      10088.2      678.083
      10100.6      679.227
      10112.9      664.536
      10125.3      653.606
      10137.7      650.960
      10150.0      656.989
      10162.4      664.740
      10174.7      669.023
      10187.1      659.432
      10199.4      642.462
      10211.8      646.478
      10224.1      648.364
      10236.5      638.902
      10248.9      634.258
      10261.2      632.386
      10273.6      631.549
      10285.9      635.249
      10298.3      642.896
      10310.6      642.571
      10323.0      640.330
      10335.3      639.006
      10347.7      632.469
      10360.1      623.289
      10372.4      618.506
      10384.8      625.852
      10397.1      648.989
      10409.5      655.961
      10421.8      655.969
      10434.2      655.325
      10446.5      657.445
      10458.9      661.348
      10471.2      658.124
      10483.6      650.462
      10496.0      637.870
      10508.3      634.494
      10520.7      634.751
      10533.0      628.310
      10545.4      624.291
      10557.7      624.842
      10570.1      625.878
      10582.4      627.662
      10594.8      631.094
      10607.2      632.062
      10619.5      631.165
      10631.9      630.278
      10644.2      629.397
      10656.6      628.471
      10668.9      627.581
      10681.3      626.670
      10693.6      625.764
      10706.0      624.838
      10718.4      623.991
      10730.7      623.049
      10743.1      622.123
      10755.4      621.250
      10767.8      620.358
      10780.1      619.432
      10792.5      618.536
      10804.8      617.586
      10817.2      616.571
      10829.5      615.470
      10841.9      614.473
      10854.3      613.474
      10866.6      612.372
      10879.0      611.357
      10891.3      610.361
      10903.7      609.282
      10916.0      608.241
      10928.4      607.196
      10940.7      606.181
      10953.1      605.165
      10965.5      604.106
      10977.8      603.050
      10990.2      602.063
      11002.5      600.970
      11014.9      599.837
      11027.2      598.751
      11039.6      597.556
      11051.9      596.491
      11064.3      595.340
      11076.7      594.212
      11089.0      593.078
      11101.4      591.984
      11113.7      590.821
      11126.1      589.679
      11138.4      588.586
      11150.8      587.440
      11163.1      586.330
      11175.5      585.193
      11187.9      584.028
      11200.2      582.930
      11212.6      581.767
      11224.9      580.559
      11237.3      579.363
      11249.6      578.220
      11262.0      576.965
      11274.3      575.833
      11286.7      574.627
      11299.0      573.463
      11311.4      572.250
      11323.8      571.070
      11336.1      569.903
      11348.5      568.673
      11360.8      567.562
      11373.2      566.294
      11385.5      565.163
      11397.9      563.936
      11410.2      562.757
      11422.6      561.570
      11435.0      560.341
      11447.3      559.124
      11459.7      557.920
      11472.0      556.714
      11484.4      555.544
      11496.7      554.303
      11509.1      553.073
      11521.4      551.864
      11533.8      550.708
      11546.2      549.478
      11558.5      548.249
      11570.9      547.057
      11583.2      545.828
      11595.6      544.649
      11607.9      543.429
      11620.3      542.234
      11632.6      541.032
      11645.0      539.830
      11657.4      538.628
      11669.7      537.439
      11682.1      536.235
      11694.4      535.017
      11706.8      533.811
      11719.1      532.649
      11731.5      531.412
      11743.8      530.240
      11756.2      529.024
      11768.5      527.823
      11780.9      526.621
      11793.3      525.400
      11805.6      524.239
      11818.0      523.059
      11830.3      521.898
      11842.7      520.750
      11855.0      519.560
      11867.4      518.381
      11879.7      517.256
      11892.1      516.068
      11904.5      514.898
      11916.8      513.737
      11929.2      512.573
      11941.5      511.408
      11953.9      510.235
      11966.2      509.087
      11978.6      507.903
      11990.9      506.735
      12003.3      505.593
      12015.7      504.447
      12028.0      503.384
      12040.4      502.273
      12052.7      501.122
      12065.1      500.036
      12077.4      498.926
      12089.8      497.841
      12102.1      496.698
      12114.5      495.599
      12126.9      494.498
      12139.2      493.365
      12151.6      492.276
      12163.9      491.129
      12176.3      490.072
      12188.6      488.942
      12201.0      487.825
      12213.3      486.782
      12225.7      485.765
      12238.0      484.741
      12250.4      483.677
      12262.8      482.663
      12275.1      481.627
      12287.5      480.585
      12299.8      479.571
      12312.2      478.526
      12324.5      477.500
      12336.9      476.429
      12349.2      475.419
      12361.6      474.381
      12374.0      473.353
      12386.3      472.317
      12398.7      471.300
      12411.0      470.318
      12423.4      469.369
      12435.7      468.412
      12448.1      467.422
      12460.4      466.503
      12472.8      465.535
      12485.2      464.570
      12497.5      463.610
      12509.9      462.701
      12522.2      461.682
      12534.6      460.764
      12546.9      459.788
      12559.3      458.852
      12571.6      457.851
      12584.0      456.925
      12596.4      455.983
      12608.7      455.004
      12621.1      454.045
      12633.4      453.079
      12645.8      452.085
      12658.1      451.135
      12670.5      450.169
      12682.8      449.219
      12695.2      448.234
      12707.5      447.250
      12719.9      446.289
      12732.3      445.346
      12744.6      444.347
      12757.0      443.405
      12769.3      442.451
      12781.7      441.446
      12794.0      440.512
      12806.4      439.726
      12818.7      439.102
      12831.1      438.527
      12843.5      437.901
      12855.8      437.325
      12868.2      436.710
      12880.5      436.120
      12892.9      435.499
      12905.2      434.903
      12917.6      434.301
      12929.9      433.713
      12942.3      433.080
      12954.7      432.505
      12967.0      431.908
      12979.4      431.298
      12991.7      430.667
      13004.1      430.104
      13016.4      429.487
      13028.8      428.860
      13041.1      428.263
      13053.5      427.659
      13065.8      427.061
      13078.2      426.462
      13090.6      425.853
      13102.9      425.211
      13115.3      424.646
      13127.6      424.013
      13140.0      423.435
      13152.3      422.796
      13164.7      422.214
      13177.0      421.595
      13189.4      420.994
      13201.8      420.362
      13214.1      419.754
      13226.5      419.114
      13238.8      418.474
      13251.2      417.862
      13263.5      417.205
      13275.9      416.587
      13288.2      415.916
      13300.6      415.333
      13313.0      414.671
      13325.3      414.030
      13337.7      413.418
      13350.0      412.744
      13362.4      412.149
      13374.7      411.518
      13387.1      410.849
      13399.4      410.218
      13411.8      409.498
      13424.2      408.708
      13436.5      407.952
      13448.9      407.209
      13461.2      406.417
      13473.6      405.690
      13485.9      404.914
      13498.3      404.154
      13510.6      403.402
      13523.0      402.629
      13535.3      401.885
      13547.7      401.102
      13560.1      400.369
      13572.4      399.591
      13584.8      398.824
      13597.1      398.079
      13609.5      397.376
      13621.8      396.717
      13634.2      396.024
      13646.5      395.352
      13658.9      394.702
      13671.3      394.028
      13683.6      393.326
      13696.0      392.689
      13708.3      392.022
      13720.7      391.317
      13733.0      390.674
      13745.4      389.975
      13757.7      389.326
      13770.1      388.636
      13782.5      387.975
      13794.8      387.282
      13807.2      386.688
      13819.5      386.111
      13831.9      385.544
      13844.2      384.961
      13856.6      384.378
      13868.9      383.828
      13881.3      383.218
