# spectrum  Type     U-V    B-V    V-R    V-I    V-J    V-K
# ---------------------------------------------------------
# bpgs_68  M3V      2.66   1.44   1.16   2.47   3.71   4.60
#
# lambda (Angstroms)  flux (phot/lambda)
#----------------------------------------------------------
PHOTLAM
      1985.67    0.0454507
      1997.48     0.136683
      2009.29     0.247396
      2021.10     0.200070
      2032.91     0.198621
      2044.72     0.257724
      2056.53     0.326036
      2068.34     0.453507
      2080.15     0.549995
      2091.96     0.595355
      2103.77     0.387335
      2115.58     0.193547
      2127.39     0.510798
      2139.20     0.653489
      2151.01     0.200831
      2162.82     0.153801
      2174.63     0.208435
      2186.44     0.100940
      2198.25     0.179409
      2210.06     0.265285
      2221.87    0.0892694
      2233.68    0.0215962
      2245.49     0.236534
      2257.30     0.577123
      2269.11     0.575503
      2280.92     0.584480
      2292.73     0.240600
      2304.55     0.145585
      2316.36     0.264824
      2328.17     0.809396
      2339.98     0.886518
      2351.79     0.390624
      2363.60     0.644236
      2375.41     0.952864
      2387.22     0.881900
      2399.03     0.645598
      2410.84     0.224498
      2422.65     0.668607
      2434.46     0.698014
      2446.27     0.624356
      2458.08     0.979211
      2469.89      1.07700
      2481.70      1.07734
      2493.51     0.836248
      2505.32     0.918814
      2517.13     0.920287
      2528.94     0.943922
      2540.75      1.44436
      2552.56      1.47093
      2564.37      1.55479
      2576.18      1.27522
      2587.99     0.972099
      2599.80      1.17262
      2611.61      1.24922
      2623.42      2.02392
      2635.23      2.59846
      2647.04      3.57600
      2658.85      3.43465
      2670.66      3.67500
      2682.47      3.58802
      2694.28      3.91366
      2706.09      3.35433
      2717.90      3.36778
      2729.71      3.02808
      2741.52      3.58222
      2753.33      4.16763
      2765.14      5.09670
      2776.95      5.60818
      2788.76      8.30900
      2800.58      21.6854
      2812.39      9.55965
      2824.20      5.13258
      2836.01      5.62277
      2847.82      6.95610
      2859.63      7.19005
      2871.44      7.72097
      2883.25      7.57252
      2895.06      7.57307
      2906.87      8.20214
      2918.68      10.5483
      2930.49      11.2766
      2942.30      10.3757
      2954.11      8.51206
      2965.92      8.30557
      2977.73      8.11310
      2989.54      10.9471
      3001.35      10.9120
      3013.16      10.4102
      3024.97      9.94009
      3036.78      14.4648
      3048.59      13.0396
      3060.40      10.2412
      3072.21      11.2305
      3084.02      14.3520
      3095.83      15.0105
      3107.64      20.1129
      3119.45      19.8518
      3131.26      15.3086
      3143.07      12.7924
      3154.88      20.5428
      3166.69      14.5277
      3178.50      17.0246
      3190.31      21.7034
      3202.12      25.4052
      3213.93      24.3968
      3225.74      25.7067
      3237.55      29.5795
      3249.36      29.2900
      3261.17      25.3263
      3272.99      19.4389
      3284.80      26.1896
      3296.61      27.7052
      3308.42      26.0800
      3320.23      28.7206
      3332.04      37.0389
      3343.85      40.0537
      3355.66      29.8738
      3367.47      38.4946
      3379.28      39.0601
      3391.09      28.9164
      3402.90      38.9691
      3414.71      41.1139
      3426.52      49.6401
      3438.33      42.9346
      3450.14      38.4976
      3461.95      49.2418
      3473.76      51.6118
      3485.57      52.9827
      3497.38      55.0219
      3509.19      53.5472
      3521.00      56.7640
      3532.81      62.1041
      3544.62      67.8035
      3556.43      61.9205
      3568.24      59.1437
      3580.05      57.7207
      3591.86      55.8589
      3603.67      53.9738
      3615.48      52.0286
      3627.29      66.0745
      3639.10      67.6567
      3650.91      65.8991
      3662.72      75.2468
      3674.53      66.4260
      3686.34      72.1558
      3698.15      85.1712
      3709.96      75.5727
      3721.77      72.7892
      3733.58      63.3398
      3745.39      57.7503
      3757.20      74.6912
      3769.01      82.1448
      3780.82      87.5078
      3792.64      82.1350
      3804.45      85.8597
      3816.26      84.3666
      3828.07      74.1563
      3839.88      72.8561
