# spectrum  Type     U-V    B-V    V-R    V-I    V-J    V-K
# ---------------------------------------------------------
#  bpgs_7  B3V     -0.88  -0.21  -0.07  -0.15  -0.48  -0.61
#
# lambda (Angstroms)  flux (phot/lambda)
#----------------------------------------------------------
PHOTLAM
      512.023    0.0257341
      524.570    0.0425755
      537.117    0.0609814
      549.664    0.0899556
      562.212     0.123374
      574.759     0.161428
      587.306     0.208062
      599.853     0.294379
      612.401     0.390337
      624.948     0.505831
      637.495     0.627135
      650.042     0.795161
      662.590     0.979271
      675.137      1.20581
      687.684      1.51136
      700.231      1.81939
      712.779      2.19272
      725.326      2.60766
      737.873      3.07491
      750.420      3.72271
      762.968      4.38575
      775.515      5.13221
      788.062      5.98381
      800.609      6.83583
      813.157      7.75788
      825.704      8.85021
      838.251      9.95028
      850.798      11.1567
      863.346      12.8621
      875.893      14.6311
      888.440      18.5342
      900.987      44.6477
      913.535      76.6543
      926.082      567.916
      938.629      1567.06
      951.177      2762.11
      963.724      3925.72
      976.271      4799.16
      988.818      5547.39
      1001.37      5948.39
      1013.91      6342.77
      1026.46      6817.18
      1039.01      7329.06
      1051.55      7943.26
      1064.10      8376.30
      1076.65      8195.96
      1089.20      8065.64
      1101.74      8242.25
      1114.29      8510.67
      1126.84      8836.88
      1139.39      9036.13
      1151.93      9159.01
      1164.48      9033.62
      1177.03      8461.15
      1189.57      6829.34
      1202.12      4680.05
      1214.67      2210.14
      1227.22      3278.64
      1239.76      6643.02
      1252.31      7543.23
      1264.86      7955.49
      1277.41      8249.63
      1289.95      7716.92
      1302.50      7253.03
      1315.05      7830.46
      1327.59      7895.24
      1340.14      7591.85
      1352.69      7419.70
      1365.24      7196.87
      1377.78      6866.66
      1390.33      6412.74
      1402.88      6188.49
      1415.42      6667.46
      1427.97      7069.40
      1440.52      7352.77
      1453.07      7384.43
      1465.61      7286.79
      1478.16      7078.25
      1490.71      6914.99
      1503.26      6783.58
      1515.80      6698.85
      1528.35      6705.20
      1540.90      6729.89
      1553.44      6616.30
      1565.99      6502.80
      1578.54      6388.41
      1591.09      6075.71
      1603.63      5814.81
      1616.18      5775.30
      1628.73      5794.61
      1641.28      5776.79
      1653.82      5504.64
      1666.37      5457.10
      1678.92      5628.10
      1691.46      5572.49
      1704.01      5495.35
      1716.56      5475.07
      1729.11      5373.40
      1741.65      5243.51
      1754.20      5145.69
      1766.75      5049.16
      1779.30      4950.86
      1791.84      4850.43
      1804.39      4749.07
      1816.94      4643.14
      1829.48      4463.68
      1842.03      4328.88
      1854.58      4437.59
      1867.13      4371.97
      1879.67      4175.09
      1892.22      4100.80
      1904.77      4022.33
      1917.32      3902.51
      1929.86      3792.85
      1942.41      3725.79
      1954.96      3772.42
      1967.50      3694.69
      1980.05      3559.93
      1992.60      3627.87
      2005.15      3618.93
      2017.69      3458.52
      2030.24      3352.29
      2042.79      3283.41
      2055.33      3266.46
      2067.88      3216.77
      2080.43      3155.24
      2092.98      3151.15
      2105.52      3155.31
      2118.07      3155.08
      2130.62      3104.58
      2143.17      3058.11
      2155.71      3058.27
      2168.26      3034.39
      2180.81      2995.65
      2193.35      2957.00
      2205.90      2922.26
      2218.45      2895.12
      2231.00      2902.26
      2243.54      2902.70
      2256.09      2868.09
      2268.64      2831.29
      2281.19      2799.44
      2293.73      2790.75
      2306.28      2792.33
      2318.83      2800.74
      2331.37      2801.36
      2343.92      2809.31
      2356.47      2834.14
      2369.02      2825.86
      2381.56      2799.83
      2394.11      2765.18
      2406.66      2782.77
      2419.20      2841.47
      2431.75      2850.08
      2444.30      2845.63
      2456.85      2837.04
      2469.39      2820.18
      2481.94      2797.19
      2494.49      2764.88
      2507.04      2722.26
      2519.58      2676.28
      2532.13      2659.67
      2544.68      2644.38
      2557.22      2622.52
      2569.77      2604.08
      2582.32      2596.56
      2594.87      2619.11
      2607.41      2640.38
      2619.96      2650.04
      2632.51      2603.99
      2645.06      2558.26
      2657.60      2530.20
      2670.15      2550.60
      2682.70      2574.81
      2695.24      2564.07
      2707.79      2570.49
      2720.34      2577.74
      2732.89      2522.52
      2745.43      2484.93
      2757.98      2482.67
      2770.53      2481.40
      2783.07      2465.62
      2795.62      2413.72
      2808.17      2379.99
      2820.72      2361.82
      2833.26      2363.08
      2845.81      2357.42
      2858.36      2342.34
      2870.91      2347.21
      2883.45      2345.41
      2896.00      2316.72
      2908.55      2281.33
      2921.09      2248.91
      2933.64      2242.48
      2946.19      2221.72
      2958.74      2186.82
      2971.28      2187.32
      2983.83      2187.24
      2996.38      2169.21
      3008.93      2174.64
      3021.47      2184.44
      3034.02      2167.23
      3046.57      2155.21
      3059.11      2150.48
      3071.66      2145.09
      3084.21      2144.49
      3096.76      2153.17
      3109.30      2166.59
      3121.85      2174.52
      3134.40      2156.89
      3146.95      2132.49
      3159.49      2105.71
      3172.04      2089.69
      3184.59      2080.99
      3197.13      2080.88
      3209.68      2081.35
      3222.23      2080.20
      3234.78      2073.84
      3247.32      2090.29
      3259.87      2117.70
      3272.42      2080.96
      3284.97      2047.92
      3297.51      2029.14
      3310.06      2006.67
      3322.61      2018.43
      3335.15      1991.54
      3347.70      1974.84
      3360.25      1981.80
      3372.80      1922.45
      3385.34      1928.43
      3397.89      1904.72
      3410.44      1914.74
      3422.98      1884.53
      3435.53      1874.05
      3448.08      1858.79
      3460.63      1826.18
      3473.17      1819.66
      3485.72      1802.18
      3498.27      1786.32
      3510.82      1750.47
      3523.36      1786.07
      3535.91      1780.56
      3548.46      1786.39
      3561.00      1774.82
      3573.55      1756.04
      3586.10      1736.74
      3598.65      1724.28
      3611.19      1726.38
      3623.74      1690.45
      3636.29      1675.08
      3648.84      1680.76
      3661.38      1653.07
      3673.93      1640.20
      3686.48      1634.56
      3699.02      1624.23
      3711.57      1625.19
      3724.12      1645.87
      3736.67      1666.74
      3749.21      1731.19
      3761.76      1771.67
      3774.31      1817.13
      3786.86      1888.92
      3799.40      1806.70
      3811.95      2015.20
      3824.50      1955.00
      3837.04      1766.62
      3849.59      2058.03
      3862.14      2219.18
      3874.69      2084.93
      3887.23      1784.59
      3899.78      1901.53
      3912.33      2156.09
      3924.87      2164.34
      3937.42      2160.71
      3949.97      2121.79
      3962.52      1845.32
      3975.06      1756.66
      3987.61      2043.78
      4000.16      2152.72
      4012.71      2097.80
      4025.25      2057.88
      4037.80      2136.54
      4050.35      2175.08
      4062.89      2157.36
      4075.44      2125.67
      4087.99      1961.82
      4100.54      1677.41
      4113.08      1826.53
      4125.63      2039.90
      4138.18      2014.61
      4150.73      2000.61
      4163.27      2022.24
      4175.82      2020.44
      4188.37      2012.97
      4200.91      2002.23
      4213.46      2002.04
      4226.01      1992.72
      4238.56      1975.56
      4251.10      1965.49
      4263.65      1924.97
      4276.20      1934.19
      4288.74      1922.48
      4301.29      1889.77
      4313.84      1839.89
      4326.39      1674.80
      4338.93      1458.57
      4351.48      1594.70
      4364.03      1808.67
      4376.58      1794.33
      4389.12      1779.78
      4401.67      1808.87
      4414.22      1781.27
      4426.76      1750.01
      4439.31      1728.64
      4451.86      1709.46
      4464.41      1651.99
      4476.95      1618.97
      4489.50      1659.22
      4502.05      1666.59
      4514.60      1658.40
      4527.14      1656.36
      4539.69      1631.25
      4552.24      1625.99
      4564.78      1609.06
      4577.33      1588.94
      4589.88      1579.53
      4602.43      1563.86
      4614.97      1553.91
      4627.52      1542.58
      4640.07      1529.98
      4652.62      1524.89
      4665.16      1499.72
      4677.71      1488.33
      4690.26      1486.21
      4702.81      1478.19
      4715.35      1464.77
      4727.90      1455.73
      4740.45      1438.71
      4752.99      1433.28
      4765.54      1425.80
      4778.09      1410.14
      4790.64      1402.42
