#   Date                    Aberrations in Microns RMS (V2,V3 system)                          ------- Cold Mask --------     OTA     Pixsize
#dd mm yyyy      Z4        Z5        Z6        Z7        Z8        Z9        Z10       Z11       X         Y        Rot       Rot     arcsec 
#--------------------------------------------------------------------------------------------------------------------------------------------
 15  4 1997   -0.0250    0.0014    0.0016    0.0077    0.0234    0.0116    0.0035   -0.0110    0.0452    0.1037   -0.2100   -0.3432   0.0751
  1  7 1997   -0.0250    0.0014    0.0016    0.0048    0.0263    0.0116    0.0035   -0.0110    0.0428    0.1063   -0.2100   -0.3567   0.0751
  1  9 1997   -0.0250    0.0014    0.0016    0.0025    0.0286    0.0116    0.0035   -0.0110    0.0408    0.1084   -0.2100   -0.3675   0.0751
 11  1 1998   -0.0250    0.0014    0.0016   -0.0024    0.0335    0.0116    0.0035   -0.0110    0.0366    0.1129   -0.2100   -0.3906   0.0751
 12  1 1998    0.1280    0.0350    0.0009   -0.0024    0.0335    0.0116    0.0035   -0.0110    0.0366    0.1129   -0.2100   -0.3908   0.0751
  1  2 1998    0.1280    0.0350    0.0009   -0.0032    0.0343    0.0116    0.0035   -0.0110    0.0360    0.1136   -0.2100   -0.3943   0.0751
  2  2 1998   -0.0250    0.0014    0.0016   -0.0032    0.0343    0.0116    0.0035   -0.0110    0.0360    0.1136   -0.2100   -0.3945   0.0751
  3  6 1998   -0.0250    0.0014    0.0016   -0.0077    0.0388    0.0116    0.0035   -0.0110    0.0321    0.1177   -0.2100   -0.4156   0.0751
  4  6 1998    0.0810    0.0400    0.0016   -0.0078    0.0389    0.0116    0.0035   -0.0110    0.0321    0.1178   -0.2100   -0.4158   0.0751
 28  6 1998    0.0810    0.0400    0.0016   -0.0087    0.0398    0.0116    0.0035   -0.0110    0.0313    0.1186   -0.2100   -0.4200   0.0751
 29  6 1998   -0.0250    0.0014    0.0016   -0.0087    0.0398    0.0116    0.0035   -0.0110    0.0313    0.1186   -0.2100   -0.4202   0.0751
  1  9 1998   -0.0250    0.0014    0.0016   -0.0111    0.0422    0.0116    0.0035   -0.0110    0.0293    0.1208   -0.2100   -0.4314   0.0751
 31 12 1998   -0.0250    0.0014    0.0016   -0.0156    0.0467    0.0116    0.0035   -0.0110    0.0255    0.1248   -0.2100   -0.4526   0.0751
